id,last_name,first_name,prefecture,school_type,school_name,subject,year,email,password,introduction,created_at
1,櫻木,誠,東京都,高校,都立つばさ総合高校,英語,1,s41l1bp@jjhlkqtz.net,r8ElrINA,よろしくお願いします,2020-04-01
2,大藪,一樹,東京都,高校,都立八王子拓真高校,国語,2,w35h0emf6_54jpby@tbmxvocg.net,botXcgmp,よろしくお願いします,2020-04-01
3,西田,徹也,東京都,小学校,練馬区立豊渓小学校,社会　,3,hfp2nmi_euq9@vnqyprb.co.jp,1hhsksBt,よろしくお願いします,2020-04-01
4,中馬,智,東京都,中学校,足立区立六月中学校,理科,4,06r64dd0h@pcdnilz.com,nPqJcsQq,よろしくお願いします,2020-04-01
5,下谷,幸太郎,東京都,小学校,千代田区立番町小学校,算数/数学,5,l58n6iaxkafq3isd@pculv.net,FzeZEl5B,よろしくお願いします,2020-04-01
6,小佐野,博樹,神奈川県,高校,県立小田原総合ビジネス高等学校,英語,6,50c6cd@sdafsuvn.jp,Eju2cp0e,よろしくお願いします,2020-04-01
7,玉谷,昌志,神奈川県,高校,県立商工高等学校,国語,7,a4atn_v30@uolzdwbtb.ac.jp,TazsXoa0,よろしくお願いします,2020-04-01
8,立川,涼平,神奈川県,中学校,横浜市立共進中学校,社会　,8,tj27dain@ywlawovkre.ac.jp,kSC7PRP5,よろしくお願いします,2020-04-01
9,山地,智紀,神奈川県,中学校,東海大学付属相模高等学校中等部,理科,9,kg377f0crbl34b2@vhdzzb.ac.jp,XnFoausL,よろしくお願いします,2020-04-01
10,蠣崎,豊彦,神奈川県,高校,県立藤沢清流高等学校,算数/数学,10,57y5t0k2@bnqph.com,4ESPQFj4,よろしくお願いします,2020-04-01
11,縄,丈晴,千葉県,高校,わせがく高校,英語,11,6vjo@wjifr.com,qqhrjf0J,よろしくお願いします,2020-04-01
12,八木,泰広,千葉県,高校,千葉県立流山おおたかの森高等学校,国語,12,ncgl0ehfa@ajxtq.ac.jp,WHDIAYrz,よろしくお願いします,2020-04-01
13,南木,弘人,千葉県,高校,西武台千葉高校,社会　,13,4tjm@paisyaqnb.co.jp,LxFRBpU5,よろしくお願いします,2020-04-01
14,神宮,敏樹,千葉県,高校,勝浦若潮高校,理科,14,5vi_l62srvm@yeekka.net,OQesWOaB,よろしくお願いします,2020-04-01
15,粟谷,智晴,千葉県,高校,匝瑳高校,算数/数学,15,s0p@sysvb.jp,UKufZ6SB,よろしくお願いします,2020-04-01
16,槙島,寿彦,山梨県,高校,私立日本航空高等学校,英語,16,gs83h4u4@qofbkl.co.jp,S1Wp9ccv,よろしくお願いします,2020-04-01
17,五味田,賢介,山梨県,高校,県立中央高校,国語,17,qp48h@jancknsgdp.org,bdDIycHr,よろしくお願いします,2020-04-01
18,伊倉,喜博,山梨県,高校,県立富士河口湖高校,社会　,18,vv55tcwd20v5@axiwaiu.com,XR43AQLY,よろしくお願いします,2020-04-01
19,南畑,寛志,山梨県,高校,私立甲斐清和高校,理科,19,3kl1@kycoalsvhr.com,zbqcJ5Ci,よろしくお願いします,2020-04-01
20,原谷,泰祐,山梨県,高校,県立富士河口湖高校,算数/数学,20,gn42@hhqcahhrjp.com,ZK1q4N0S,よろしくお願いします,2020-04-01
21,松生,正記,静岡県,高校,私立星陵高校,英語,21,3iwj9gynbsphfbga@olcmlfkbaj.ac.jp,Rekz4woF,よろしくお願いします,2020-04-01
22,野堀,義将,静岡県,中学校,浜松市立開成中学校,国語,22,gen@epvrj.com,KoFHnL1Q,よろしくお願いします,2020-04-01
23,櫛谷,周司,静岡県,小学校,静岡市立番町小学校,社会　,23,ri9tapniq3@vhhdf.jp,21ag4Iw8,よろしくお願いします,2020-04-01
24,赤土,直美,静岡県,高校,浜松海の星高校,理科,24,xsrojh8jmpjco9a@yemcygutem.net,8YN1yh9y,よろしくお願いします,2020-04-01
25,院田,寛典,静岡県,高校,静岡県自動車工業高校,算数/数学,25,ehd@lawrwaog.com,7809viOw,よろしくお願いします,2020-04-01
26,勝山,朋子,埼玉県,中学校,入間市立西武中学校,英語,26,qus9b@dzkmpherod.org,D7bc1Fec,よろしくお願いします,2020-04-01
27,春木,奈津子,埼玉県,小学校,越谷市立大相模小学校,国語,27,i5mg@zhcbj.net,NlX7TRUY,よろしくお願いします,2020-04-01
28,大北,美佐子,埼玉県,小学校,宮代町立百間小学校,社会　,28,q9kbiyo9pxt8ijy@gopkujhjnr.co.jp,jkw0YwDO,よろしくお願いします,2020-04-01
29,久下,早希,埼玉県,高校,埼玉県立川口青陵高等学校,理科,29,lo9p1ls2jz_x@bbijexxm.jp,OrG6HygQ,よろしくお願いします,2020-04-01
30,奥西,ゆり子,埼玉県,小学校,川口市立十二月田小学校,算数/数学,30,93yyoquusja@ojrjvx.co.jp,27MIHNyL,よろしくお願いします,2020-04-01
31,新保,奈穂美,群馬県,高校,県立太田フレックス高,英語,31,z6kv0fjw9hsive@ammtxvptk.net,tXlwkPBA,よろしくお願いします,2020-04-01
32,秋間,良恵,群馬県,高校,高崎高校,国語,32,u_81cktzr@xxmpembejz.jp,TFOK3E0g,よろしくお願いします,2020-04-01
33,上里,智穂,群馬県,中学校,前橋市立木瀬中学校,社会　,33,07z52e62stcafa@woiodqkm.ac.jp,iY5G4R1j,よろしくお願いします,2020-04-01
34,高良,修子,群馬県,中学校,前橋市立粕川中学校,理科,34,1m0xgo3@uwtybt.net,LRqoNjRb,よろしくお願いします,2020-04-01
35,村谷,みな,群馬県,中学校,みなかみ町立水上中学校,算数/数学,35,_tfgxz8g7@rnbzp.ac.jp,m89WOWJA,よろしくお願いします,2020-04-01
36,大神田,真沙美,茨城県,小学校,リリーベール小学校,英語,36,aio0di00qgn9l7@ahgzbpwuyx.co.jp,3fvJs0un,よろしくお願いします,2020-04-01
37,稲熊,樹,茨城県,高校,土浦湖北高校,国語,37,lcksgw6b7@szgpbu.jp,w1JAyaBG,よろしくお願いします,2020-04-01
38,氏家,裕未,茨城県,高校,石下紫峰高校,社会　,38,0fp31ddo3fc37ra@qgfnt.co.jp,7nAO9RSz,よろしくお願いします,2020-04-01
39,礒貝,華澄,茨城県,高校,波崎柳川高校,理科,39,8skp4@znxbc.net,hOXrYCc7,よろしくお願いします,2020-04-01
40,茅原,有記,茨城県,中学校,江戸川学園取手中高,算数/数学,40,9i84plzw5h06u3@fgexw.net,b4ixdztQ,よろしくお願いします,2020-04-01
